date,coin,value
2016-08-26,bitcoin,577.75
2016-08-26,ripple,0.006083
2016-08-27,bitcoin,579.45
2016-08-27,ethereum,11.29
2016-08-27,ripple,0.006018
2016-08-28,ripple,0.005974
2016-08-28,ethereum,11.15
2016-08-28,bitcoin,569.83
2016-08-29,bitcoin,574.07
2016-08-29,ripple,0.005961
2016-08-29,ethereum,10.92
2016-08-30,ripple,0.00612
2016-08-30,ethereum,10.99
2016-08-30,bitcoin,574.11
2016-08-31,ripple,0.006036
2016-08-31,ethereum,11.24
2016-08-31,bitcoin,577.59
2016-09-01,ethereum,11.67
2016-09-01,bitcoin,575.55
2016-09-01,ripple,0.006013
2016-09-02,bitcoin,572.41
2016-09-02,ethereum,11.96
2016-09-02,ripple,0.005979
2016-09-03,bitcoin,575.55
2016-09-03,ripple,0.005967
2016-09-03,ethereum,12.11
2016-09-04,ripple,0.005964
2016-09-04,ethereum,11.75
2016-09-04,bitcoin,598.59
2016-09-05,ripple,0.005947999999999999
2016-09-05,bitcoin,608.99
2016-09-05,ethereum,11.68
2016-09-06,ethereum,11.73
2016-09-06,ripple,0.005933
2016-09-06,bitcoin,606.51
2016-09-07,ethereum,11.69
2016-09-07,ripple,0.005915
2016-09-07,bitcoin,610.57
2016-09-08,bitcoin,614.63
2016-09-08,ripple,0.0058920000000000005
2016-09-08,ethereum,11.55
2016-09-09,ripple,0.005901
2016-09-09,ethereum,11.41
2016-09-09,bitcoin,626.35
2016-09-10,bitcoin,622.93
2016-09-10,ripple,0.005872
2016-09-10,ethereum,11.66
2016-09-11,ripple,0.005866
2016-09-11,ethereum,12.21
2016-09-11,bitcoin,623.42
2016-09-12,ripple,0.005843999999999999
2016-09-12,bitcoin,607.0
2016-09-12,ethereum,11.64
2016-09-13,bitcoin,608.02
2016-09-13,ethereum,11.89
2016-09-13,ripple,0.005899000000000001
2016-09-14,bitcoin,608.84
2016-09-14,ripple,0.005888
2016-09-14,ethereum,11.9
2016-09-15,bitcoin,610.59
2016-09-15,ripple,0.005969
2016-09-15,ethereum,11.94
2016-09-16,ethereum,11.96
2016-09-16,bitcoin,607.25
2016-09-16,ripple,0.008286
2016-09-17,ethereum,12.56
2016-09-17,bitcoin,607.22
2016-09-17,ripple,0.007391
2016-09-18,ethereum,12.69
2016-09-18,ripple,0.007017
2016-09-18,bitcoin,606.28
2016-09-19,ethereum,12.44
2016-09-19,ripple,0.006855
2016-09-19,bitcoin,609.87
2016-09-20,ethereum,13.21
2016-09-20,ripple,0.006865
2016-09-20,bitcoin,609.25
2016-09-21,bitcoin,603.59
2016-09-21,ethereum,14.43
2016-09-21,ripple,0.006809
2016-09-22,bitcoin,597.28
2016-09-22,ripple,0.006833
2016-09-22,ethereum,13.66
2016-09-23,ripple,0.006848000000000001
2016-09-23,ethereum,13.21
2016-09-23,bitcoin,596.2
2016-09-24,ripple,0.007234
2016-09-24,bitcoin,602.96
2016-09-24,ethereum,13.32
2016-09-25,ripple,0.007356
2016-09-25,bitcoin,602.75
2016-09-25,ethereum,12.85
2016-09-26,ethereum,13.17
2016-09-26,ripple,0.007872
2016-09-26,bitcoin,600.81
2016-09-27,ripple,0.007959
2016-09-27,bitcoin,608.02
2016-09-27,ethereum,12.86
2016-09-28,ripple,0.00822
2016-09-28,bitcoin,606.24
2016-09-28,ethereum,13.11
2016-09-29,ethereum,13.28
2016-09-29,ripple,0.009065
2016-09-29,bitcoin,605.02
2016-09-30,ethereum,13.08
2016-09-30,bitcoin,605.72
2016-09-30,ripple,0.00891
2016-10-01,bitcoin,609.93
2016-10-01,ripple,0.008839
2016-10-01,ethereum,13.2
2016-10-02,bitcoin,613.95
2016-10-02,ethereum,13.18
2016-10-02,ripple,0.008197
2016-10-03,bitcoin,610.97
2016-10-03,ethereum,13.2
2016-10-03,ripple,0.008165
2016-10-04,ripple,0.008115
2016-10-04,bitcoin,612.05
2016-10-04,ethereum,13.45
2016-10-05,ethereum,13.28
2016-10-05,bitcoin,610.22
2016-10-05,ripple,0.007873
2016-10-06,ripple,0.007429000000000002
